code,name,risk_type,asset_class,sub_category,aum_eok
411060,ACE KRX금현물,risk,fx_commodity,gold,52303
144600,KODEX 은선물(H),risk,fx_commodity,silver,14590
132030,KODEX 골드선물(H),risk,fx_commodity,gold,4821
261220,KODEX WTI원유선물(H),risk,fx_commodity,oil,1428
261240,KODEX 미국달러선물,risk,fx_commodity,usd,724
292560,TIGER 일본엔선물,risk,fx_commodity,jpy,542
271060,KODEX 3대농산물선물(H),risk,fx_commodity,agri,252
360750,TIGER 미국S&P500,risk,foreign_equity_index,us_sp500,147821
379800,KODEX 미국S&P500,risk,foreign_equity_index,us_sp500,81089
133690,TIGER 미국나스닥100,risk,foreign_equity_index,us_nasdaq,79730
379810,KODEX 미국나스닥100,risk,foreign_equity_index,us_nasdaq,55319
381180,TIGER 미국필라델피아반도체나스닥,risk,foreign_equity_index,us_semi,34100
360200,ACE 미국S&P500,risk,foreign_equity_index,us_sp500,33475
367380,ACE 미국나스닥100,risk,foreign_equity_index,us_nasdaq,27323
379780,RISE 미국S&P500,risk,foreign_equity_index,us_sp500,14147
371160,TIGER 차이나항셍테크,risk,foreign_equity_index,china_tech,9134
449180,KODEX 미국S&P500(H),risk,foreign_equity_index,us_sp500_h,6946
251350,KODEX 선진국MSCI World,risk,foreign_equity_index,dm_world,4913
448290,TIGER 미국S&P500TR(H),risk,foreign_equity_index,us_sp500_h,4371
241180,TIGER 일본니케이225,risk,foreign_equity_index,japan,4279
453810,KODEX 인도Nifty50,risk,foreign_equity_index,india,4103
453870,TIGER 인도니프티50,risk,foreign_equity_index,india,3951
245710,ACE 베트남VN30(합성),risk,foreign_equity_index,vietnam,3155
448300,TIGER 미국나스닥100TR(H),risk,foreign_equity_index,us_nasdaq_h,2963
283580,KODEX 차이나CSI300,risk,foreign_equity_index,china,2825
200250,KIWOOM 인도Nifty50(합성),risk,foreign_equity_index,india,2215
414780,TIGER 차이나과창판STAR50(합성),risk,foreign_equity_index,china_tech,2068
372330,KODEX 차이나항셍테크,risk,foreign_equity_index,china_tech,1627
192090,TIGER 차이나CSI300,risk,foreign_equity_index,china,1575
219480,KODEX 미국S&P500선물(H),risk,foreign_equity_index,us_sp500_h,1437
245340,TIGER 미국다우존스30,risk,foreign_equity_index,us_dow,1412
168580,ACE 중국본토CSI300,risk,foreign_equity_index,china,1301
488500,TIGER 미국S&P500동일가중,risk,foreign_equity_index,us_sp500_ew,1293
304940,KODEX 미국나스닥100선물(H),risk,foreign_equity_index,us_nasdaq_h,1056
143850,TIGER 미국S&P500선물(H),risk,foreign_equity_index,us_sp500_h,982
195980,PLUS 신흥국MSCI(합성 H),risk,foreign_equity_index,em,920
101280,KODEX 일본TOPIX100,risk,foreign_equity_index,japan,624
099140,KODEX 차이나H,risk,foreign_equity_index,china_h,437
245360,TIGER 차이나HSCEI,risk,foreign_equity_index,china_h,400
238720,ACE 일본Nikkei225(H),risk,foreign_equity_index,japan_h,359
195930,TIGER 유로스탁스50(합성 H),risk,foreign_equity_index,europe_h,354
256440,ACE 인도네시아MSCI(합성),risk,foreign_equity_index,indonesia,345
280930,KODEX 미국러셀2000(H),risk,foreign_equity_index,us_smallcap_h,326
195970,PLUS 선진국MSCI(합성 H),risk,foreign_equity_index,dm_world_h,244
250730,RISE 차이나HSCEI(H),risk,foreign_equity_index,china_h,172
291130,ACE 멕시코MSCI(합성),risk,foreign_equity_index,mexico,171
195920,TIGER 일본TOPIX(합성 H),risk,foreign_equity_index,japan_h,159
310080,RISE 중국MSCI China(H),risk,foreign_equity_index,china_h,119
105010,TIGER 라틴35,risk,foreign_equity_index,latam,113
379790,RISE 유로스탁스50(H),risk,foreign_equity_index,europe_h,109
411860,KIWOOM 독일DAX,risk,foreign_equity_index,germany,104
499150,SOL 미국S&P500엔화노출(H),risk,foreign_equity_index,us_sp500_jpy_h,85
189400,PLUS 글로벌MSCI(합성 H),risk,foreign_equity_index,global_h,70
261920,ACE 필리핀MSCI(합성),risk,foreign_equity_index,philippines,57
381170,TIGER 미국테크TOP10 INDXX,risk,foreign_equity_sector,us_tech,38009
458730,TIGER 미국배당다우존스,risk,foreign_equity_sector,us_dividend,30379
